NAME_2,mean_u10,mean_v10,phase,wind_speed
Guangzhou,-0.57788818960202,-0.4701585383914502,Phase0,0.7449857789943947
Shaoguan,-0.18184416573140663,-0.3999784097614983,Phase0,0.43937458834790194
Shenzhen,-1.026410623686517,0.05351360332757574,Phase0,1.0278046867754815
Zhuhai,-1.0554746449807004,-0.01764399602135737,Phase0,1.0556221088972781
Shantou,-0.8664847436313731,-0.24691434798356504,Phase0,0.9009786380298233
Foshan,-0.6697923438087183,-0.4159416780579296,Phase0,0.7884346918866665
Jiangmen,-0.7003742696038188,-0.15995064253615832,Phase0,0.7184067967181356
Zhanjiang,-1.5721904868268612,0.34281862372729055,Phase0,1.609132541353619
Maoming,-0.947989786865637,0.25697292150058004,Phase0,0.9822014652738505
Zhaoqing,-0.6190119375489849,-0.34786176207680686,Phase0,0.7100588597738425
Huizhou,-0.5015362292286925,-0.27117944995484206,Phase0,0.5701551396828289
Meizhou,-0.01019616238321638,-0.19322288987910535,Phase0,0.19349172308028526
Shanwei,-0.5701202837724172,-0.18739390090511868,Phase0,0.6001279964017501
Heyuan,-0.09770657188143653,-0.5337337847559536,Phase0,0.5426032871064613
Yangjiang,-0.7172620430648247,-0.04316948947813452,Phase0,0.7185599788767317
Qingyuan,-0.27451016939791567,-0.4615092342442302,Phase0,0.5369791489392937
Dongguan,-0.7443364306266829,-0.10901577450216318,Phase0,0.7522773165850324
Zhongshan,-0.7165613047297452,-0.12064894990621708,Phase0,0.7266472820767086
Chaozhou,-0.34688779587926266,0.04567658434836473,Phase0,0.3498821134149419
Jieyang,-0.4548006545159632,-0.1545700615785919,Phase0,0.4803493929261889
Yunfu,-0.7366566156772211,0.00876210469028642,Phase0,0.7367087239198546
Nanning,-0.8177400113697674,-0.17414209165511446,Phase0,0.8360766677052085
Liuzhou,-0.6210123170344554,-0.8447433527255804,Phase0,1.048450108437477
Guilin,-0.5760373683922251,-0.4581956066040687,Phase0,0.736045014720914
Wuzhou,-0.6709970976066418,-0.3936059928228352,Phase0,0.7779220928747217
Beihai,-0.7327667475361751,-0.0079108112271917,Phase0,0.7328094481029955
Fangchenggang,-0.4574883794006688,0.04019637515994358,Phase0,0.45925087464549175
Qinzhou,-0.6009082325620944,-0.13579268868609137,Phase0,0.6160603527751951
Guigang,-0.5751018740511905,-0.3385438336355719,Phase0,0.6673485542277448
Yulin,-0.7403161962519045,-0.02087866915118303,Phase0,0.7406105516790946
Chongzuo,-0.5412956059328762,-0.1065070112589272,Phase0,0.5516744297586655
Laibin,-0.4250711833260886,-0.634407765625804,Phase0,0.7636482986169526
Hezhou,-0.46147875025460594,-0.5136641303907103,Phase0,0.6905168178883101
Baise,-0.6095998985547214,0.41630825343749395,Phase0,0.738190082700996
Hechi,-0.700441723324571,-0.09126349284201286,Phase0,0.7063622533088947
Guiyang,-0.7010744994852285,0.1288028876334753,Phase0,0.7128082755490324
Liupanshui,-0.42038135215596695,0.8274407102447695,Phase0,0.9281048487163763
Zunyi,-0.6084981036331815,0.14822040255748206,Phase0,0.6262900524992234
Tongren,-0.818036264538875,-0.22356486966345004,Phase0,0.8480357192054776
Qianxinan Buyei and Miao,-0.6351911534154092,0.4878287073441126,Phase0,0.8009023967289808
Bijie,-0.3863278948606554,0.0800580027644024,Phase0,0.39453583633694245
Anshun,-0.8104601144219912,0.3310944701031282,Phase0,0.875482235800235
Qiandongnan Miao and Dong,-0.7292410831315378,-0.3936081989490416,Phase0,0.8286856892735428
Qiannan Buyei and Miao,-0.8998582198601242,0.02690655756122044,Phase0,0.9002603949356135
Hainan,-1.191516233160837,0.4510887200009767,Phase0,1.2740455122160705
Haikou,-2.644401872920739,0.30290551795758874,Phase0,2.661693637200921
Sanya,-0.885629737504527,0.3396692752137654,Phase0,0.9485332089476793
Shijiazhuang,0.20776348796181004,-0.02767782490143432,Phase0,0.20959897166095937
Tangshan,0.3834170139041204,0.07211698259367288,Phase0,0.3901403154373675
Qinhuangdao,0.6149770773306668,-0.03005027567374023,Phase0,0.6157108288070274
Handan,0.0637588871406248,0.13660607443468423,Phase0,0.15075282837103063
Xingtai,0.03904339678365916,0.2440145577817349,Phase0,0.24711837495787697
Baoding,0.3823643261450042,-0.05608483994659102,Phase0,0.38645567298224237
Zhangjiakou,1.336720561947129,-0.1855224785107095,Phase0,1.3495334196547357
Cangzhou,-0.05067951105647239,0.43773282152036,Phase0,0.4406568232503594
Langfang,0.11579439752367578,0.1756595697083379,Phase0,0.21039160374879384
Hengshui,-0.14313974606374097,0.5089228960174093,Phase0,0.5286695574684994
Zhengzhou,-0.14377329785026577,0.1335191237208386,Phase0,0.19620937177903058
Kaifeng,-0.2611829330243477,0.06127995186629245,Phase0,0.26827552442206876
Luoyang,0.00353105864327063,0.01324473610251509,Phase0,0.013707348743191837
Pingdingshan,-0.03275083212741137,-0.12468978856338545,Phase0,0.1289192009633152
Anyang,0.1371648082361115,0.08664642470636606,Phase0,0.16223990733739094
